country,year,iso_code,co2_per_capita,consumption_co2_per_capita,co2_per_gdp,consumption_co2_per_gdp,energy_per_capita,primary_energy_consumption,energy_per_gdp,gdp,population
Namibia,2019,NAM,1.407311201095581,3.5254147052764893,0.1672892719507217,0.4190715253353119,7529.8408203125,19.957836151123047,0.8950839638710022,22297166631.0,2650499.0
Nepal,2019,NPL,0.4487386643886566,1.224156379699707,0.1436257660388946,0.391810268163681,1280.6820068359375,36.389381408691406,0.4099021255970001,88775779267.0,28414066.0
Netherlands,2019,NLD,8.708599090576172,9.273748397827148,0.1828359812498092,0.1947012245655059,58248.6875,1021.5366821289062,1.2229241132736206,835323029559.0,17537505.0
New Zealand,2019,NZL,7.357706069946289,8.426798820495605,0.1960256844758987,0.2245087027549743,52824.81640625,263.5646667480469,1.4073708057403564,187274507980.0,4989410.0
Nicaragua,2019,NIC,0.8032668232917786,1.084705471992493,0.1787665635347366,0.2414005696773529,2988.322509765625,19.375267028808597,0.6650494337081909,29133575354.0,6483660.0
Niger,2019,NER,0.109525479376316,,0.1183455735445022,,475.5198669433594,10.912117958068848,0.5138134956359863,21237507069.0,22947765.0
Nigeria,2019,NGA,0.6103487610816956,0.631517767906189,0.1184510886669159,0.1225593909621238,2457.387939453125,514.7874755859375,0.4769081473350525,1079426893318.0,209485637.0
North Korea,2019,PRK,2.6696817874908447,,1.635615587234497,,8788.4033203125,228.8292236328125,5.384331226348877,42499100315.0,26037633.0
North Macedonia,2019,MKD,4.017938613891602,,0.2681581079959869,,16366.357421875,31.05750274658203,1.092294216156006,28433274864.0,1897643.0
Norway,2019,NOR,8.015732765197754,9.031335830688477,0.0941479131579399,0.106076568365097,96479.1875,515.9449462890625,1.1331857442855835,455304831150.0,5347733.0
Oman,2019,OMN,15.689613342285156,17.117271423339844,0.422015905380249,0.4604167938232422,81330.6171875,373.4090270996094,2.1876139640808105,170692383655.0,4591248.0
Pakistan,2019,PAK,0.8267986178398132,0.9504867792129515,0.162774845957756,0.1871258020401001,4218.50830078125,973.635498046875,0.8305130004882812,1172330212219.0,230800908.0
Palestine,2019,PSE,0.6584859490394592,,0.1337392181158065,,4149.3994140625,20.571781158447266,0.8427475094795227,24410373377.0,4957773.0
Panama,2019,PAN,2.9397075176239014,4.427408695220947,0.1388282626867294,0.2090852111577987,29537.38671875,125.0819091796875,1.3949086666107178,89670319909.0,4234698.0
Paraguay,2019,PRY,1.2691231966018677,2.020766019821167,0.1312359869480133,0.2089609950780868,7898.01806640625,51.4560546875,0.8167089223861694,63004153609.0,6515059.0
Peru,2019,PER,1.8079981803894043,2.2415611743927,0.1781862378120422,0.2209157794713974,10064.4736328125,326.58514404296875,0.9918984174728394,329252610797.0,32449302.0
Philippines,2019,PHL,1.2869601249694824,1.6821192502975464,0.1446091681718826,0.1890111714601516,5109.18359375,566.1214599609375,0.5740929245948792,986114678778.0,110804685.0
Poland,2019,POL,8.304427146911621,8.100661277770996,0.2831209003925323,0.2761739492416382,31059.26171875,1187.2677001953125,1.0588961839675903,1121231497071.0,38225884.0
Portugal,2019,PRT,4.600410461425781,5.2258620262146,0.1660806536674499,0.1886602491140365,28333.216796875,293.056640625,1.0228650569915771,286505655767.0,10343218.0
Qatar,2019,QAT,36.251686096191406,27.84299087524414,0.2713345289230346,0.208397626876831,209158.015625,585.2088623046875,1.5654938220977783,373817411294.0,2797927.0
Romania,2019,ROU,3.932527542114258,4.366112232208252,0.1679726541042328,0.1864926367998123,19681.396484375,383.8175659179688,0.8406645059585571,456564507688.0,19501542.0
Russia,2019,RUS,11.63190460205078,8.778389930725098,0.4600383937358856,0.3471827208995819,57120.421875,8370.0302734375,2.2590956687927246,3705035583500.0,146533063.0
Rwanda,2019,RWA,0.1106356233358383,0.2113862931728363,0.0568046644330024,0.108534000813961,430.3158264160156,5.497758865356445,0.2209410071372985,24883378782.0,12776102.0
Saint Lucia,2019,LCA,2.825203418731689,,0.2751961052417755,,14145.3603515625,2.5132768154144287,1.3778645992279053,1824037649.0,177675.0
Sao Tome and Principe,2019,STP,0.6867693066596985,,0.1867021173238754,,3108.31103515625,0.6633291244506836,0.8450119495391846,784993764.0,213405.0
Saudi Arabia,2019,SAU,23.24481201171875,22.05879020690918,0.4198335111141205,0.39841228723526,97377.9375,2967.37939453125,1.7587804794311523,1687180073621.0,30472809.0
Senegal,2019,SEN,0.7773199677467346,1.0502232313156128,0.2755472064018249,0.3722869455814361,2561.5380859375,41.88864135742188,0.9080233573913574,46131678369.0,16352926.0
Serbia,2019,SRB,6.380063533782959,,0.4145582616329193,,25990.81640625,181.0560607910156,1.688808798789978,107209329080.0,6966155.0
Seychelles,2019,SYC,5.013547420501709,,0.1880428791046142,,32611.263671875,3.837106466293335,1.223149061203003,3137071789.0,117662.0
Sierra Leone,2019,SLE,0.1445319205522537,,0.1013011410832405,,586.240966796875,4.532811641693115,0.4108910858631134,11031662186.0,7731994.0
Singapore,2019,SGP,8.642642974853516,30.982789993286133,0.1150731071829795,0.4125226140022278,171884.0625,974.5073852539062,2.2885630130767822,425816263950.0,5669562.0
Slovakia,2019,SVK,6.210880279541016,7.119686603546143,0.227846160531044,0.261185735464096,33913.33203125,184.8489227294922,1.2441105842590332,148579167627.0,5450627.0
Slovenia,2019,SVN,6.7451043128967285,9.616650581359863,0.2209654301404953,0.3150355219841003,38399.16796875,80.00228881835938,1.2579329013824463,63598215879.0,2083438.0
South Africa,2019,ZAF,7.899717807769775,6.167037963867188,0.6523008346557617,0.5092287659645081,24698.11328125,1471.708251953125,2.039389371871948,721641639539.0,59587880.0
South Korea,2019,KOR,12.48076343536377,14.2085542678833,0.32056325674057,0.364940881729126,67917.34375,3515.9345703125,1.744429111480713,2015521635585.0,51767844.0
Spain,2019,ESP,5.284557819366455,5.989055156707764,0.1521961987018585,0.1724858433008194,33390.26171875,1583.87109375,0.9616454243659972,1647042667976.0,47435121.0
Sri Lanka,2019,LKA,0.9417695999145508,1.926157832145691,0.0754776298999786,0.1543709188699722,5043.8466796875,113.03538513183594,0.4042364656925201,279626891521.0,22410552.0
Sweden,2019,SWE,3.96653413772583,6.517982482910156,0.087303377687931,0.1434607207775116,60882.55078125,625.8190307617188,1.34002423286438,467020665386.0,10279120.0
Switzerland,2019,CHE,4.292875289916992,14.457417488098145,0.0683547258377075,0.2302030026912689,39166.93359375,335.9553527832031,0.6236484050750732,538693495449.0,8577525.0
Syria,2019,SYR,1.6454933881759644,,0.5364915132522583,,5840.697265625,118.87883758544922,1.9042826890945437,62427096792.0,20353536.0
Taiwan,2019,TWN,11.603549003601074,12.13320255279541,0.2483958154916763,0.2597340643405914,56101.125,1328.145751953125,1.200950264930725,1105912366266.0,23674137.0
Tajikistan,2019,TJK,0.9143961668014526,1.2468905448913574,0.2126455307006836,0.2899680435657501,4632.5888671875,44.148433685302734,1.0773221254348757,40979787244.0,9529970.0
Tanzania,2019,TZA,0.2736101150512695,0.359290599822998,0.0940623432397842,0.1235177814960479,1046.091064453125,61.902320861816406,0.3596276640892029,172128919031.0,59174889.0
Thailand,2019,THA,3.941114664077759,4.245822429656982,0.2452962547540664,0.2642613649368286,20689.29296875,1479.7451171875,1.2877082824707031,1149130685920.0,71522264.0
Togo,2019,TGO,0.2792959213256836,0.9443443417549132,0.1878983080387115,0.6353143453598022,1120.135986328125,9.47978973388672,0.7535794377326965,12579682405.0,8463070.0
Trinidad and Tobago,2019,TTO,27.446016311645508,17.3432674407959,1.0173139572143557,0.6428454518318176,131459.0,195.2032012939453,4.872658729553223,40060922958.0,1484898.0
Tunisia,2019,TUN,2.5750186443328857,2.531434297561645,0.2305344343185424,0.2266324609518051,10254.7060546875,121.77549743652344,0.9180760383605956,132642060864.0,11875084.0
Turkey,2019,TUR,4.763107299804688,4.906769752502441,0.2041908204555511,0.2103495150804519,21663.298828125,1849.128662109375,0.9286893010139464,1991116616493.0,85357670.0
Turkmenistan,2019,TKM,9.149725914001465,,0.6599640250205994,,51540.265625,350.6770324707031,3.717567205429077,94329707021.0,6803943.0
Uganda,2019,UGA,0.1339833885431289,0.1807064414024353,0.0620129108428955,0.0836382210254669,663.3368530273438,28.523242950439453,0.3070190250873565,92903828922.0,42999636.0
Ukraine,2019,UKR,4.9421820640563965,4.657067775726318,0.4985629320144653,0.4698009192943573,21301.546875,957.6632080078124,2.148881196975708,445656664440.0,44957451.0
United Arab Emirates,2019,ARE,21.75956916809082,25.241987228393555,0.2776366472244262,0.3220698237419128,129769.296875,1216.9576416015625,1.655764102935791,734982504070.0,9377855.0
United Kingdom,2019,GBR,5.435077667236328,7.818903923034668,0.1389914900064468,0.1999531835317611,32676.998046875,2192.984619140625,0.8356503248214722,2624285076706.0,67110958.0
United States,2019,USA,15.500492095947266,16.51936149597168,0.2824032306671142,0.3009660243988037,78683.46875,26578.494140625,1.433532953262329,18540552700117.0,337790069.0
Uruguay,2019,URY,1.886396050453186,2.806760311126709,0.0953919142484664,0.1419332027435302,14307.822265625,48.60662078857422,0.7235228419303894,67180494669.0,3397206.0
Uzbekistan,2019,UZB,3.274630308151245,,0.3174927532672882,,16483.42578125,543.3712158203125,1.5981556177139282,339998944961.0,32964700.0
Venezuela,2019,VEN,3.643310785293579,1.4856233596801758,0.5347163081169128,0.2180398553609848,22702.53125,656.968017578125,3.33197283744812,197170883456.0,28938096.0
Vietnam,2019,VNM,3.491809844970703,2.5198512077331543,0.4637612104415893,0.3346715271472931,12433.123046875,1208.173583984375,1.6512928009033203,731653148132.0,97173778.0
Yemen,2019,YEM,0.3357250690460205,,0.1781035214662552,,1085.5635986328125,38.11567306518555,0.5758958458900452,66185009341.0,35111416.0
Zambia,2019,ZMB,0.4778228402137756,0.6018267869949341,0.1358998864889145,0.1711684465408325,1962.268310546875,36.32912063598633,0.5580981969833374,65094496543.0,18513839.0
Zimbabwe,2019,ZWE,0.6722900867462158,0.7613358497619629,0.4082806408405304,0.4623579978942871,2603.881103515625,39.76485061645508,1.5813326835632324,25146416205.0,15271377.0
